amount_of_labeled_dataset,least_confidence,margin,ratio_of_confidence,entropy,random
32,0.0958,0.0958,0.0958,0.0958,0.0958
64,0.0958,0.0958,0.0958,0.0958,0.0958
96,0.0958,0.0958,0.0958,0.0958,0.0958
128,0.0958,0.096,0.0958,0.0958,0.0958
160,0.1046,0.1044,0.1046,0.0842,0.1008
192,0.1048,0.1048,0.1048,0.1024,0.11
224,0.1048,0.1048,0.1048,0.1058,0.1094
256,0.1048,0.1048,0.1048,0.1048,0.111
288,0.1048,0.1048,0.1048,0.1048,0.1058
320,0.1048,0.1048,0.1048,0.1048,0.1054
352,0.1048,0.1048,0.1048,0.1048,0.1054
384,0.0994,0.1048,0.1048,0.106,0.118
416,0.099,0.1048,0.1058,0.0994,0.1176
448,0.1364,0.105,0.099,0.111,0.1288
480,0.1054,0.1396,0.1048,0.1034,0.1516
512,0.1076,0.1518,0.1064,0.0994,0.1306
544,0.1148,0.1438,0.1376,0.1088,0.1438
576,0.1094,0.1386,0.1178,0.1226,0.131
608,0.1422,0.1532,0.1408,0.1366,0.1518
640,0.1114,0.1326,0.1216,0.1182,0.1496
672,0.1332,0.1446,0.1292,0.1292,0.1572
704,0.1418,0.1446,0.1172,0.1496,0.1554
736,0.1514,0.1416,0.143,0.1484,0.1534
768,0.1576,0.1502,0.1358,0.1636,0.1436
800,0.1592,0.148,0.1336,0.1616,0.1514
832,0.164,0.1322,0.1322,0.1728,0.1474
864,0.1682,0.1388,0.1458,0.1728,0.149
896,0.174,0.1526,0.1516,0.18,0.1604
928,0.1498,0.1536,0.1546,0.1778,0.159
960,0.176,0.145,0.1582,0.1756,0.1506
992,0.1852,0.1586,0.1462,0.19,0.16
1024,0.1826,0.1612,0.1462,0.1772,0.1612
1056,0.1888,0.1622,0.1304,0.1842,0.1622
1088,0.179,0.1874,0.167,0.1796,0.1608
1120,0.1824,0.178,0.163,0.1904,0.1612
1152,0.181,0.1842,0.1902,0.2012,0.1596
1184,0.1822,0.1882,0.1804,0.1842,0.1628
1216,0.1808,0.2052,0.1922,0.1918,0.162
1248,0.197,0.189,0.1984,0.1934,0.1594
1280,0.194,0.1778,0.222,0.18,0.1614
1312,0.1934,0.2182,0.2152,0.2116,0.1664
1344,0.1948,0.2014,0.2096,0.2064,0.1644
1376,0.1922,0.2098,0.2064,0.191,0.1664
1408,0.194,0.2212,0.2256,0.186,0.1688
1440,0.188,0.2306,0.219,0.191,0.173
1472,0.1968,0.2258,0.2242,0.1932,0.1774
1504,0.19,0.229,0.2226,0.2152,0.1826
1536,0.1872,0.2258,0.2336,0.204,0.1854
1568,0.1858,0.2318,0.2302,0.191,0.1834
1600,0.1874,0.2362,0.239,0.1888,0.2034
1632,0.1954,0.2238,0.2318,0.2052,0.208
1664,0.1878,0.2338,0.2344,0.2048,0.2122
1696,0.2006,0.2136,0.232,0.2166,0.2128
1728,0.215,0.2364,0.2248,0.1918,0.2218
1760,0.1992,0.224,0.2364,0.2004,0.2306
1792,0.197,0.2264,0.23,0.2218,0.2258
1824,0.1938,0.2418,0.2404,0.2086,0.23
1856,0.1974,0.231,0.2372,0.2262,0.2164
1888,0.1902,0.24,0.2238,0.211,0.2296
1920,0.1936,0.2344,0.2344,0.2314,0.2366
1952,0.2046,0.2364,0.2202,0.1966,0.2368
1984,0.2138,0.2376,0.2304,0.2018,0.235
2016,0.2178,0.2332,0.2342,0.2,0.233
2048,0.2274,0.2436,0.2388,0.222,0.232
2080,0.203,0.2372,0.238,0.2202,0.2406
2112,0.2052,0.232,0.2304,0.2292,0.2174
2144,0.2162,0.2434,0.2292,0.2182,0.2396
2176,0.235,0.2376,0.2356,0.2366,0.237
2208,0.2174,0.2446,0.2424,0.2374,0.2384
2240,0.2268,0.2538,0.2426,0.2358,0.2376
2272,0.2194,0.2472,0.234,0.2352,0.2392
2304,0.233,0.2412,0.2322,0.231,0.2366
2336,0.248,0.2398,0.2458,0.246,0.2442
2368,0.2236,0.2436,0.2364,0.2316,0.2532
2400,0.2306,0.2536,0.245,0.228,0.2444
2432,0.2618,0.245,0.2468,0.2548,0.241
2464,0.2394,0.2438,0.2326,0.258,0.254
2496,0.235,0.2396,0.2462,0.2492,0.247
2528,0.259,0.2476,0.2524,0.2558,0.2542
2560,0.2578,0.2444,0.2488,0.281,0.2534
2592,0.272,0.2636,0.247,0.2708,0.2538
2624,0.25,0.266,0.2452,0.2666,0.2434
2656,0.2512,0.2726,0.2512,0.2804,0.25
2688,0.282,0.2636,0.247,0.2818,0.251
2720,0.269,0.2698,0.2424,0.2712,0.2606
2752,0.2682,0.243,0.2646,0.2716,0.2558
2784,0.278,0.2612,0.2632,0.2588,0.2646
2816,0.256,0.2784,0.2768,0.2812,0.2616
2848,0.2796,0.2636,0.2506,0.2886,0.2452
2880,0.2624,0.2662,0.269,0.282,0.2636
2912,0.254,0.2824,0.253,0.2914,0.2518
2944,0.2426,0.2674,0.261,0.2936,0.2666
2976,0.2896,0.2682,0.263,0.3056,0.2678
3008,0.2626,0.2766,0.2594,0.2764,0.2616
3040,0.3022,0.254,0.2716,0.2912,0.2452
3072,0.2956,0.268,0.2638,0.3116,0.2576
3104,0.2736,0.2758,0.2554,0.295,0.266
3136,0.264,0.2782,0.2636,0.2858,0.2742
3168,0.2652,0.3042,0.279,0.2964,0.2712
3200,0.299,0.2776,0.2694,0.2902,0.2726
