amount_of_labeled_dataset,least_confidence,margin,ratio_of_confidence,entropy,random
32,0.0986,0.0986,0.0986,0.0986,0.0986
64,0.0986,0.0986,0.0986,0.0986,0.0986
96,0.0986,0.0986,0.0986,0.0986,0.0986
128,0.0986,0.0986,0.0986,0.0986,0.0986
160,0.0892,0.0912,0.0912,0.097,0.1008
192,0.0914,0.0914,0.0914,0.1016,0.1012
224,0.0922,0.0914,0.0914,0.1018,0.1012
256,0.0988,0.0914,0.0914,0.1098,0.1012
288,0.1016,0.0914,0.0914,0.102,0.1012
320,0.1012,0.0914,0.0914,0.1014,0.1012
352,0.1016,0.1014,0.1012,0.1012,0.0924
384,0.0926,0.0986,0.1052,0.1012,0.0976
416,0.1018,0.1406,0.0914,0.1014,0.1158
448,0.1026,0.1016,0.097,0.1012,0.0946
480,0.1092,0.1044,0.1152,0.1014,0.1474
512,0.1256,0.1284,0.0994,0.1014,0.1036
544,0.1262,0.1166,0.1102,0.111,0.1206
576,0.112,0.128,0.128,0.1138,0.143
608,0.129,0.127,0.1152,0.1162,0.1118
640,0.0988,0.1266,0.1294,0.102,0.146
672,0.1144,0.1314,0.1344,0.1196,0.1438
704,0.0982,0.1292,0.1156,0.0968,0.1452
736,0.1134,0.1258,0.132,0.1096,0.1478
768,0.1134,0.138,0.139,0.098,0.1466
800,0.1042,0.1256,0.1398,0.1068,0.1476
832,0.1036,0.1284,0.1398,0.102,0.148
864,0.1102,0.1288,0.1442,0.1006,0.1412
896,0.1176,0.118,0.1444,0.1034,0.1456
928,0.1086,0.129,0.1478,0.105,0.1512
960,0.125,0.141,0.1476,0.1076,0.1506
992,0.1264,0.1448,0.1386,0.1036,0.153
1024,0.1214,0.146,0.1298,0.117,0.1518
1056,0.1282,0.131,0.147,0.1144,0.1534
1088,0.1198,0.1516,0.1542,0.1074,0.1554
1120,0.1234,0.1532,0.1542,0.1118,0.1556
1152,0.1242,0.145,0.155,0.1272,0.1486
1184,0.1496,0.154,0.153,0.1166,0.1536
1216,0.1444,0.1558,0.1562,0.1252,0.1556
1248,0.1478,0.1538,0.1562,0.12,0.1558
1280,0.1482,0.144,0.1566,0.1296,0.1548
1312,0.1426,0.143,0.1572,0.1334,0.155
1344,0.1338,0.1296,0.1596,0.149,0.1544
1376,0.148,0.1496,0.1566,0.1474,0.1534
1408,0.1482,0.1614,0.1504,0.154,0.1542
1440,0.1376,0.1614,0.1556,0.1446,0.1556
1472,0.15,0.1612,0.151,0.1344,0.1566
1504,0.1444,0.142,0.1564,0.1484,0.157
1536,0.15,0.1598,0.1592,0.1458,0.1568
1568,0.1438,0.1582,0.16,0.1508,0.157
1600,0.1496,0.1606,0.1606,0.15,0.1572
1632,0.1512,0.1602,0.158,0.147,0.1572
1664,0.1484,0.1564,0.1568,0.1516,0.1576
1696,0.1506,0.1596,0.1562,0.152,0.1568
1728,0.1538,0.158,0.1606,0.1526,0.1574
1760,0.1478,0.1598,0.16,0.152,0.158
1792,0.1554,0.1602,0.1574,0.1522,0.1582
1824,0.1438,0.1598,0.1588,0.154,0.158
1856,0.1554,0.16,0.1532,0.1536,0.1576
1888,0.1554,0.1602,0.1598,0.1462,0.159
1920,0.1522,0.1588,0.1606,0.1546,0.1586
1952,0.1566,0.1538,0.1592,0.1564,0.1588
1984,0.1566,0.1618,0.1608,0.1564,0.1592
2016,0.1558,0.161,0.16,0.1584,0.1582
2048,0.1596,0.1614,0.1578,0.1434,0.1514
2080,0.1564,0.1612,0.1612,0.159,0.16
2112,0.1572,0.1586,0.1612,0.158,0.1594
2144,0.1618,0.1568,0.1616,0.1584,0.1584
2176,0.158,0.163,0.162,0.1568,0.1598
2208,0.159,0.161,0.1588,0.1642,0.1602
2240,0.1574,0.1616,0.1592,0.167,0.1594
2272,0.16,0.1604,0.1628,0.1618,0.1582
2304,0.162,0.161,0.1608,0.1606,0.16
2336,0.1602,0.1628,0.1624,0.1782,0.1612
2368,0.1554,0.1626,0.164,0.1612,0.155
2400,0.1592,0.161,0.1618,0.1594,0.1604
2432,0.1732,0.156,0.162,0.185,0.155
2464,0.1672,0.1628,0.1632,0.1798,0.1606
2496,0.1616,0.164,0.1642,0.1728,0.161
2528,0.1818,0.1598,0.1648,0.181,0.161
2560,0.1646,0.1636,0.1648,0.1854,0.162
2592,0.1674,0.1626,0.1572,0.1824,0.161
2624,0.1726,0.1626,0.1644,0.187,0.1624
2656,0.1664,0.164,0.165,0.181,0.1584
2688,0.1734,0.1638,0.166,0.1756,0.161
2720,0.1754,0.161,0.166,0.1986,0.1612
2752,0.1762,0.164,0.1658,0.192,0.1606
2784,0.1724,0.165,0.1648,0.1884,0.163
2816,0.1762,0.1602,0.1664,0.1776,0.1602
2848,0.1884,0.164,0.1664,0.2036,0.155
2880,0.1978,0.163,0.1666,0.1972,0.164
2912,0.1878,0.1644,0.168,0.1816,0.1666
2944,0.18,0.1648,0.1666,0.1976,0.1692
2976,0.1864,0.1592,0.164,0.2162,0.1688
3008,0.2056,0.1646,0.1646,0.2128,0.1734
3040,0.1852,0.1654,0.1684,0.1764,0.177
3072,0.2014,0.1666,0.169,0.2002,0.1596
3104,0.1878,0.1674,0.1674,0.1944,0.1724
3136,0.1976,0.167,0.1678,0.2032,0.1684
3168,0.1812,0.1676,0.1684,0.2098,0.1742
3200,0.1814,0.18,0.1688,0.2082,0.1714
