amount_of_labeled_dataset,least_confidence,margin,ratio_of_confidence,entropy,random
32,0.1018,0.1018,0.1018,0.1018,0.1018
64,0.1018,0.1018,0.1018,0.1018,0.1018
96,0.1018,0.1018,0.1018,0.1018,0.1018
128,0.1018,0.1018,0.1018,0.1018,0.1018
160,0.0984,0.1,0.0976,0.1018,0.0864
192,0.101,0.0976,0.097,0.1052,0.0974
224,0.099,0.0988,0.0988,0.0998,0.0988
256,0.0988,0.0988,0.0988,0.0988,0.0986
288,0.0988,0.0988,0.0988,0.0988,0.0986
320,0.0988,0.0988,0.1004,0.0988,0.099
352,0.0988,0.1092,0.0976,0.0988,0.0988
384,0.0976,0.0976,0.0976,0.1012,0.099
416,0.1016,0.0976,0.0976,0.0988,0.0992
448,0.1066,0.0976,0.0976,0.0976,0.1056
480,0.0976,0.1036,0.1228,0.0976,0.12
512,0.1188,0.1068,0.0978,0.0976,0.1476
544,0.1058,0.1268,0.102,0.0978,0.1812
576,0.1064,0.1452,0.1034,0.1008,0.1904
608,0.1022,0.162,0.101,0.119,0.1814
640,0.1188,0.1542,0.1156,0.0986,0.21
672,0.1198,0.1574,0.1262,0.1212,0.2122
704,0.1188,0.1622,0.1348,0.1552,0.2056
736,0.1148,0.1552,0.136,0.1632,0.171
768,0.117,0.1602,0.148,0.169,0.195
800,0.1432,0.16,0.1504,0.1672,0.21
832,0.1532,0.1722,0.1464,0.1686,0.2228
864,0.161,0.1758,0.1428,0.1712,0.2154
896,0.1704,0.1786,0.1636,0.1722,0.2046
928,0.1628,0.1812,0.18,0.1596,0.218
960,0.175,0.1786,0.1892,0.1678,0.2172
992,0.164,0.1832,0.189,0.17,0.213
1024,0.159,0.1832,0.2046,0.1744,0.2224
1056,0.1856,0.1948,0.2112,0.1786,0.2244
1088,0.1588,0.218,0.2174,0.1782,0.2052
1120,0.156,0.2048,0.216,0.1834,0.2284
1152,0.1666,0.2258,0.2174,0.1726,0.2464
1184,0.1512,0.216,0.224,0.1832,0.2482
1216,0.163,0.2382,0.2204,0.1896,0.2612
1248,0.1504,0.2016,0.2238,0.1882,0.2556
1280,0.1524,0.2198,0.238,0.1792,0.2616
1312,0.1744,0.2438,0.2356,0.1956,0.2546
1344,0.157,0.2494,0.2298,0.1978,0.2756
1376,0.1678,0.2424,0.2214,0.1974,0.2676
1408,0.179,0.253,0.2412,0.2068,0.2924
1440,0.1778,0.2594,0.246,0.2024,0.2566
1472,0.1804,0.2318,0.25,0.1838,0.2978
1504,0.189,0.2568,0.2248,0.2112,0.2892
1536,0.2048,0.2482,0.2412,0.199,0.2998
1568,0.2082,0.2586,0.2298,0.2174,0.3032
1600,0.199,0.2608,0.2428,0.2026,0.2996
1632,0.2184,0.2586,0.2464,0.2234,0.3018
1664,0.2052,0.266,0.2346,0.2042,0.3092
1696,0.2194,0.262,0.2322,0.2262,0.2818
1728,0.214,0.2452,0.2622,0.1948,0.3036
1760,0.2234,0.2222,0.2336,0.2212,0.3004
1792,0.214,0.266,0.2434,0.2272,0.3112
1824,0.2206,0.2478,0.2528,0.235,0.2944
1856,0.2458,0.269,0.2568,0.215,0.3016
1888,0.2494,0.2726,0.2566,0.2162,0.3174
1920,0.2324,0.255,0.2628,0.2402,0.314
1952,0.2494,0.2788,0.2492,0.2434,0.3036
1984,0.2278,0.272,0.2678,0.2378,0.3214
2016,0.2676,0.2786,0.2714,0.2464,0.3198
2048,0.258,0.2754,0.2748,0.2458,0.311
2080,0.2444,0.278,0.288,0.2626,0.3104
2112,0.2656,0.2544,0.2914,0.2396,0.321
2144,0.2396,0.2728,0.276,0.269,0.316
2176,0.2642,0.2816,0.285,0.2666,0.327
2208,0.2576,0.2556,0.2874,0.2312,0.3196
2240,0.2458,0.2862,0.292,0.2518,0.3282
2272,0.2572,0.2892,0.2722,0.272,0.3312
2304,0.2668,0.2794,0.2736,0.2724,0.324
2336,0.2784,0.2794,0.2814,0.2456,0.339
2368,0.25,0.3018,0.297,0.2574,0.3388
2400,0.2582,0.302,0.2982,0.2724,0.3398
2432,0.2668,0.2946,0.2906,0.2628,0.337
2464,0.2724,0.275,0.3012,0.2692,0.3356
2496,0.2792,0.2952,0.2982,0.2716,0.3326
2528,0.27,0.306,0.3006,0.2886,0.3402
2560,0.2422,0.3014,0.3074,0.2758,0.3482
2592,0.275,0.315,0.307,0.2638,0.3442
2624,0.2706,0.3074,0.3106,0.287,0.342
2656,0.2824,0.3146,0.311,0.2892,0.3394
2688,0.2518,0.315,0.3106,0.2816,0.3322
2720,0.282,0.3198,0.317,0.2982,0.3506
2752,0.2812,0.3098,0.3186,0.2974,0.3542
2784,0.2878,0.3092,0.3212,0.276,0.3558
2816,0.2926,0.3218,0.313,0.2872,0.3644
2848,0.2744,0.3186,0.329,0.2898,0.3476
2880,0.297,0.3286,0.323,0.2738,0.362
2912,0.2856,0.312,0.3188,0.3004,0.3588
2944,0.284,0.3248,0.3266,0.3054,0.3566
2976,0.272,0.3358,0.3322,0.2968,0.3592
3008,0.3056,0.3366,0.3212,0.2898,0.3696
3040,0.2958,0.334,0.3326,0.3136,0.362
3072,0.293,0.347,0.3164,0.3118,0.363
3104,0.3024,0.3424,0.3274,0.3014,0.372
3136,0.299,0.3238,0.3226,0.307,0.3612
3168,0.2962,0.3416,0.3324,0.299,0.3646
3200,0.284,0.3386,0.3298,0.288,0.3798
